unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1682,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1683,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1684,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1685,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1686,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1687,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1688,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1640,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1641,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1642,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1643,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1644,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1645,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1646,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1647,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1648,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1649,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1650,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1651,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1652,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1653,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1654,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1655,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1656,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1657,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1658,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1659,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1660,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1661,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1662,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1663,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1664,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1665,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1666,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1667,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1668,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1669,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1670,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,11,1671,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,12,1672,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1673,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1674,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1675,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1676,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1677,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1678,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1679,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1680,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1681,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1682,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1683,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1684,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1685,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1686,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1687,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,null,1688,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1640,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,977.85,1641,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1642,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1643,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,523.13,1644,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,685.85,1645,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,779.75,1646,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1647,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1648,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1649,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1650,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1651,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1652,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1653,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1654,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1655,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1656,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1657,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1658,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,3,1659,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1660,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1661,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,18,1662,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,1646.5,1663,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,148.75,1664,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1665,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1666,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1667,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,4,1668,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1669,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,20,1670,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,12.5,1671,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,15,1672,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,14.5,1673,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1674,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1675,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1676,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1677,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1678,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,68.25,1679,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1680,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,159,1681,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1682,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1683,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1684,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1685,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1686,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,6,1687,,
StÙck (Piece),Beef,,calf/veal,K_lber,Beef,null,1688,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1640,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1641,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1642,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1643,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1644,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1645,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1646,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1647,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1648,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1649,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1650,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1651,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1652,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1653,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1654,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1655,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1656,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1657,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1658,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1659,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1660,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1661,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1662,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1663,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1664,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1665,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1666,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1667,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1668,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1669,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,15,1670,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,4,1671,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1672,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1673,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1674,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1675,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1676,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1677,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1678,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1679,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1680,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1681,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1682,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1683,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1684,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1685,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1686,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1687,,
StÙck (Piece),Beef,,calf trunk,K_lberrÙmpffe,Beef,null,1688,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1640,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1641,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1642,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1643,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1644,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,0.5,1645,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,2,1646,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1647,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1648,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1649,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1650,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1651,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1652,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1653,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1654,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1655,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1656,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1657,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1658,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1659,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1660,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1661,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1662,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1663,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1664,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1665,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1666,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1667,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1668,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1669,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1670,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1671,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1672,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1673,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1674,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1675,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1676,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1677,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1678,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1679,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1680,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1681,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1682,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1683,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1684,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1685,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1686,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1687,,
StÙck (Piece),Beef,,http://en.wikipedia.org/wiki/Aurochs,Auern,game,null,1688,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1640,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,164,1641,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1642,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1643,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,125,1644,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,289,1645,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,542.125,1646,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1647,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,7,1648,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1649,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1650,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1651,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1652,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1653,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1654,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1655,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1656,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1657,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1658,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,19,1659,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1660,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1661,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,10,1662,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,494,1663,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,10.25,1664,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,21.5,1665,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1666,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1667,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,0.75,1668,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1669,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,18.25,1670,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1671,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,0.75,1672,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,,1673,,306 lb. Maybe changed measure b/c they were bought instead of made?
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1674,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1675,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1676,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1677,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1678,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,,1679,,119 lbs. bought by kitchen
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1680,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1681,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1682,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1683,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1684,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1685,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1686,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1687,,
StÙck (Piece),Beef,,cow trunk?,Och¤enrÙmpffe,Beef,null,1688,,
StÙck (Piece),Beef,,cow,KÙhe,Beef,null,1640,,
