unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1664,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1665,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1666,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1667,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1668,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1669,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1670,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,11,1671,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,12,1672,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1673,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1674,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1675,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1676,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1677,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1678,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1679,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1680,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1681,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1682,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1683,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1684,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1685,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1686,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1687,,
Stof (Fluids),Acid,,Wine vinegar,Weine¤ig,,0,1688,,
